secid	name	rating	price_pct	price_source	coupon_pct	event_date	event_type	days_to_event	maturity	amortizations_before_event	current_coupon_yield_pct	simple_yield_to_event_pct	xirr_to_event_pct	moex_yield_pct	profit_per_bond_rub	num_trades	value_today
RU000A10CCN3	О'КЕЙ ООО БО 001Р-08	A-	99.98	LAST	16.9	2027-02-09	PUT	146	2028-07-28	0	16.9034	16.1833	17.536	18.33	65.02	193	3198487
RU000A1089X5	РЖД ОАО ЗО28-1-Р	AAA	88.63	LAST	6.598	2028-03-02	MATURITY	533	2028-03-02	1	7.4444	16.1695	16.1927	16.21	20992.08	5	444270
RU000A10BFK4	Новые технологии 001Р-05	A-	103.54	LAST	23.25	2027-04-08	MATURITY	204	2027-04-08	1	22.4551	16.1584	17.7553	17.89	93.91	89	521045
RU000A10DQ68	СелоЗеленое 001Р-02	A	100.96	LAST	17.25	2027-11-25	MATURITY	435	2027-11-25	1	17.086	16.1306	17.5935	17.64	195.54	518	9351739
RU000A1003A4	ГТЛК БО 001P-13	AA-	97.41	LAST	9.57	2027-02-03	PUT	140	2034-01-20	0	9.8245	16.126	17.2497	17.72	61.03	24	355115
RU000A104W17	Почта России БО-002P-02	AA	100.53	LAST	17.5	2027-12-17	PUT	457	2032-06-08	0	17.4077	16.1192	17.4912	17.65	211.89	41	150712
RU000A10BPN7	Полипласт АО П02-БО-05	A	105.45	LAST	25.5	2027-05-19	MATURITY	245	2027-05-19	1	24.1821	16.1082	18.0975	18.22	115.98	509	9792681
RU000A10B3S8	Аэрофьюэлз-002Р-04	A	103.52	LAST	24.75	2027-03-19	MATURITY	184	2027-03-19	1	23.9084	16.087	18.3037	18.46	88.9	446	3591953
RU000A0JXN21	АФК "Система" ПАО БО-001P-06	A+	96.91	LAST	10.5	2027-03-26	MATURITY	191	2027-03-26	1	10.8348	16.0451	17.5459	17.61	85.57	48	173516
RU000A103U02	Банк ВТБ (ПАО) Б-1-245	AAA	97.6	LAST	0.01	2026-11-11	MATURITY	56	2026-11-11	1	0.0102	16.0404	17.1707	17.17	24.02	34	6299564
RU000A10DP93	КАМАЗ ПАО БО-П18	A	100.28	LAST	16.5	2027-11-22	MATURITY	432	2027-11-22	1	16.4539	16.0404	17.4512	17.5	192.01	195	3001116
RU000A10B0Z9	ЭР-Телеком Холдинг ПБО-02-09	A	99.19	LAST	15.5	2028-02-20	MATURITY	522	2028-02-20	1	15.6266	16.0374	17.348	17.39	229.35	255	1874847
RU000A10C5L7	Селигдар 001Р-04	A+	103.17	LAST	19.0	2028-01-08	MATURITY	479	2028-01-08	1	18.4162	16.0246	17.5315	17.58	217.18	1200	20244263
RU000A10EAC6	КАМАЗ ПАО БО-П20	A	99.94	LAST	15.95	2028-02-06	MATURITY	508	2028-02-06	1	15.9596	15.951	17.1863	17.23	222.16	1027	30100979
RU000A10BFJ6	Полипласт АО П02-БО-04	A	104.82	LAST	25.5	2027-04-08	MATURITY	204	2027-04-08	1	24.3274	15.9079	17.5597	17.71	93.63	277	4279577
RU000A102952	ВИС ФИНАНС БО-П01	A+	94.35	LAST	10.0	2027-10-12	MATURITY	391	2027-10-12	1	10.5988	15.8615	16.758	16.79	163.34	65	315873
RU000A103166	Банк ВТБ (ПАО) Б-1-216	AAA	98.8	LAST	0.01	2026-10-14	MATURITY	28	2026-10-14	1	0.0101	15.8454	17.0579	17.06	12.01	22	3947840
RU000A10B933	Селигдар 001Р-03	A+	106.39	LAST	23.25	2027-09-25	MATURITY	374	2027-09-25	1	21.8536	15.7733	17.6502	17.73	173.7	972	17514568
RU000A10BY45	Новые технологии 001Р-07	A-	102.9	LAST	20.25	2027-06-22	MATURITY	279	2027-06-22	1	19.6793	15.7297	17.3517	17.44	125.19	172	1755386
RU000A1084B2	"Сэтл-Групп" ООО БО 002P-03	A-	100.53	LAST	17.0	2027-03-14	MATURITY	179	2027-03-14	1	16.9104	15.7235	16.9597	17.07	77.59	328	3895230
RU000A10CKZ0	ЕвразХолдинг Финанс 003P-04	AA-	97.69	LAST	13.9	2028-02-13	MATURITY	515	2028-02-13	1	14.2287	15.7117	16.8807	16.92	218.76	607	18019118
RU000A10BPZ1	АФК Система БО 002Р-02	A+	104.13	LAST	22.75	2027-05-20	MATURITY	246	2027-05-20	1	21.8477	15.6421	17.3944	17.51	111.42	829	21255945
