event_date	event_type	name	isin	rating	coupon_pct	price_pct	price_source	current_face	nkd_rub	dirty_rub	days_to_event	simple_yield_pct	effective_xirr_pct	moex_yield_pct	maturity	put_date	put_price_pct	amortization_count	estimated_coupon_count	call_dates_ignored	unknown_offer_dates_ignored	num_trades	value_today
2027-02-10	MATURITY	Банк ВТБ (ПАО) Б-1-249	RU000A103U44	NR	0.01	220.25	OFFER	1000.0	0.01	2202.51	146	-136.4875	-86.1082	-84.02	2027-02-10			1	0	[]	[]	0	0
2027-02-10	MATURITY	Ростелеком ПАО 002P-02R	RU000A101FG8	AAA	6.65	97.75	OFFER	1000.0	6.56	984.06	146	12.4738	12.9445	12.94	2027-02-10			1	0	[]	[]	72	1750666
2027-02-11	MATURITY	Мобильные ТелеСистемы 001P-14	RU000A101FH6	AAA	6.6	97.23	OFFER	1000.0	6.33	978.63	147	13.7695	14.4959	14.5	2027-02-11			1	0	[]	[]	292	17640985
2027-02-12	PUT	ГК Самолет БО-П11	RU000A104JQ3	A-	26.0	92.22	OFFER	1000.0	26.36	948.56	148	47.08	54.0146	54.86	2028-02-08	2027-02-12	100.0	0	0	[]	[]	2069	54346294
2027-02-12	PUT	РЖД БО 001Р-05R	RU000A0ZYU05	AAA	15.3	100.17	OFFER	1000.0	15.51	1017.21	148	14.3239	14.9623	15.63	2033-02-01	2027-02-12	100.0	0	0	[]	[]	29	7622389
2027-02-12	MATURITY	СберИОС 001Р-516R 5Г SBER	RU000A104FK4	NR	0.01	117.02	OFFER	1000.0	0	1170.2	148	-35.8489	-32.1167	0.0	2027-02-12			1	0	[]	[]	0	0
2027-02-13	MATURITY	БЭЛТИ-ГРАНД ООО БО-П04	RU000A103DY2	NR	12.25	98.29	OFFER	150.0	0.05	147.485	149	14.5583	19.0179	18.91	2027-02-13			2	0	[]	[]	28	35195
2027-02-15	MATURITY	Вымпел-Коммуникации 001Р-05	RU000A105W81	AA	9.35	98.75	OFFER	1000.0	7.94	995.44	151	12.428	13.0731	12.99	2027-02-15			1	0	["2027-02-15"]	[]	5	41434
2027-02-15	MATURITY	ЭкономЛизинг 001Р-07	RU000A107SX3	BBB-	16.0	98.0	OFFER	1000.0	13.59	993.59	151	20.9684	22.8483	22.85	2027-02-15			1	0	[]	[]	21	116740
2027-02-16	MATURITY	Банк ВТБ (ПАО) Б-1-269	RU000A104081	NR	0.01	102.99	OFFER	1000.0	0	1029.9	152	-6.9622	-6.8214	0.0	2027-02-16			1	0	[]	["2027-02-16"]	0	0
2027-02-17	MATURITY	АЛЬФА-БАНК Б2Р26	RU000A107TH4	AA+	13.8	100.43	OFFER	1000.0	10.96	1015.26	153	12.5853	13.3236	13.7	2027-02-17			1	0	[]	[]	25	188702
2027-02-18	MATURITY	Банк ВТБ (ПАО) Б-1-299	RU000A104DK9	NR	0.01	106.89	OFFER	1000.0	0	1068.9	154	-15.2665	-14.5982	0.0	2027-02-18			1	0	[]	["2027-02-18"]	0	0
2027-02-18	MATURITY	Мани Капитал 001P-03	RU000A107WD7	B+	15.0	97.57	OFFER	1000.0	10.68	986.38	154	15.1236	27.9491	29.26	2027-02-18			5	0	[]	[]	29	688881
2027-02-18	MATURITY	ПИР БО-01-001P	RU000A107WF2	BB	18.5	97.89	OFFER	250.0	3.29	248.015	154	18.2384	29.2831	29.33	2027-02-18			2	0	[]	[]	29	27099
2027-02-19	MATURITY	Новые технологии 001Р-04	RU000A10AYF7	A-	24.25	103.34	OFFER	1000.0	17.94	1051.34	155	15.5848	16.8754	17.23	2027-02-19			1	0	[]	[]	93	1134741
2027-02-19	PUT	Сибирское Стекло БО-02	RU000A10CJ84	BB-	24.5	96.91	OFFER	1000.0	18.79	987.89	155	31.6914	37.0555	37.7	2028-08-09	2027-02-19	100.0	0	0	[]	["2027-02-26"]	62	449760
2027-02-20	MATURITY	Банк ВТБ (ПАО) Б-1-270	RU000A1043Q6	NR	0.01	99.49	OFFER	1000.0	0	994.9	156	1.2089	1.2131	0.0	2027-02-20			1	1	[]	["2027-02-20"]	0	0
2027-02-24	MATURITY	АО Авто Финанс Банк БО-001Р-14	RU000A10B0U0	AA	23.0	103.65	OFFER	1000.0	12.6	1049.1	160	13.9819	15.3327	15.46	2027-02-24			1	0	[]	[]	224	2658368
2027-02-24	PUT	АПРИ БО-002Р-05	RU000A10A1P9	BBB-	24.0	95.6	OFFER	1000.0	24.33	980.33	160	32.4271	37.2307	40.15	2028-11-07	2027-02-24	100.0	0	0	[]	[]	65	492780
2027-02-24	MATURITY	Банк ВТБ (ПАО) Б-1-300	RU000A104DL7	NR	0.01	99.8	OFFER	1000.0	0	998.0	160	0.4686	0.4692	0.0	2027-02-24			1	0	[]	["2027-02-24"]	0	0
